origen,destino,personas,tipo,nivel
021003,070502,1,nacimiento,municipio
021003,071001,13,nacimiento,municipio
021004,070101,547,nacimiento,municipio
021004,070102,14,nacimiento,municipio
021004,070103,4,nacimiento,municipio
021004,070104,38,nacimiento,municipio
021004,070105,3,nacimiento,municipio
021004,070201,42,nacimiento,municipio
021004,070502,1,nacimiento,municipio
021004,071001,15,nacimiento,municipio
021005,070101,88,nacimiento,municipio
021005,070102,4,nacimiento,municipio
021005,070104,10,nacimiento,municipio
021005,070201,17,nacimiento,municipio
021005,070502,1,nacimiento,municipio
021005,071001,3,nacimiento,municipio
021006,070101,37,nacimiento,municipio
021006,070102,1,nacimiento,municipio
021006,070104,12,nacimiento,municipio
021006,070105,1,nacimiento,municipio
021006,070201,6,nacimiento,municipio
021006,070502,2,nacimiento,municipio
021006,071001,3,nacimiento,municipio
021099,070101,141,nacimiento,provincia
021099,070102,3,nacimiento,provincia
021099,070104,13,nacimiento,provincia
021099,070105,1,nacimiento,provincia
021099,070201,24,nacimiento,provincia
021099,071001,9,nacimiento,provincia
021101,070101,258,nacimiento,municipio
021101,070102,10,nacimiento,municipio
021101,070103,4,nacimiento,municipio
021101,070104,16,nacimiento,municipio
021101,070105,2,nacimiento,municipio
021101,070201,23,nacimiento,municipio
021101,070502,3,nacimiento,municipio
021101,071001,11,nacimiento,municipio
021102,070101,163,nacimiento,municipio
021102,070102,8,nacimiento,municipio
021102,070103,1,nacimiento,municipio
021102,070104,18,nacimiento,municipio
021102,070105,6,nacimiento,municipio
021102,070201,29,nacimiento,municipio
021102,070603,2,nacimiento,municipio
021102,071001,5,nacimiento,municipio
021103,070101,48,nacimiento,municipio
021103,070102,1,nacimiento,municipio
